ObservedBy_Person_ID,Partner_Group,Site_ID,Site_Name,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Patch,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No,NumYs_in_Series,NumDays_in_Series,Multiple_Observers,Multiple_FirstY,Observed_Status_Conflict_Flag
'20',-9999,5124,Tucson Mountains Dog Circle,32.197659,-111.029831,785,AZ,210,Carnegiea,gigantea,saguaro,Plantae,9839,-9999,256,Flower buds (1 location),2010,5,2,122,2455319,14,2010,5,23,143,2455340,21,3,22,0,0,-9999
'20',-9999,5124,Tucson Mountains Dog Circle,32.197659,-111.029831,785,AZ,210,Carnegiea,gigantea,saguaro,Plantae,9840,-9999,201,Open flowers (1 location),2010,5,12,132,2455329,10,2010,5,23,143,2455340,21,2,12,0,0,-9999
'20',-9999,5124,Tucson Mountains Dog Circle,32.197659,-111.029831,785,AZ,210,Carnegiea,gigantea,saguaro,Plantae,9840,-9999,256,Flower buds (1 location),2010,4,18,108,2455305,-9999,2010,5,12,132,2455329,11,3,25,0,0,-9999
'20',-9999,5124,Tucson Mountains Dog Circle,32.197659,-111.029831,785,AZ,210,Carnegiea,gigantea,saguaro,Plantae,9841,-9999,201,Open flowers (1 location),2010,5,23,143,2455340,11,2010,6,13,164,2455361,-9999,2,22,0,0,-9999
'20',-9999,5124,Tucson Mountains Dog Circle,32.197659,-111.029831,785,AZ,210,Carnegiea,gigantea,saguaro,Plantae,9841,-9999,256,Flower buds (1 location),2010,5,12,132,2455329,10,2010,5,23,143,2455340,21,2,12,0,0,-9999
'20',-9999,5124,Tucson Mountains Dog Circle,32.197659,-111.029831,785,AZ,210,Carnegiea,gigantea,saguaro,Plantae,9842,-9999,201,Open flowers (1 location),2010,5,23,143,2455340,11,2010,6,13,164,2455361,-9999,2,22,0,0,-9999
'20',-9999,5124,Tucson Mountains Dog Circle,32.197659,-111.029831,785,AZ,210,Carnegiea,gigantea,saguaro,Plantae,9842,-9999,256,Flower buds (1 location),2010,5,2,122,2455319,14,2010,5,23,143,2455340,21,3,22,0,0,-9999
'20',-9999,5124,Tucson Mountains Dog Circle,32.197659,-111.029831,785,AZ,210,Carnegiea,gigantea,saguaro,Plantae,9843,-9999,201,Open flowers (1 location),2010,5,23,143,2455340,11,2010,5,23,143,2455340,21,1,1,0,0,-9999
'20',-9999,5124,Tucson Mountains Dog Circle,32.197659,-111.029831,785,AZ,210,Carnegiea,gigantea,saguaro,Plantae,9843,-9999,256,Flower buds (1 location),2010,5,2,122,2455319,14,2010,5,23,143,2455340,21,3,22,0,0,-9999
'20',-9999,5124,Tucson Mountains Dog Circle,32.197659,-111.029831,785,AZ,210,Carnegiea,gigantea,saguaro,Plantae,9844,-9999,256,Flower buds (1 location),2010,5,2,122,2455319,14,2010,5,2,122,2455319,10,1,1,0,0,-9999
'20',-9999,5124,Tucson Mountains Dog Circle,32.197659,-111.029831,785,AZ,210,Carnegiea,gigantea,saguaro,Plantae,9845,-9999,201,Open flowers (1 location),2010,5,23,143,2455340,11,2010,6,13,164,2455361,-9999,2,22,0,0,-9999
'20',-9999,5124,Tucson Mountains Dog Circle,32.197659,-111.029831,785,AZ,210,Carnegiea,gigantea,saguaro,Plantae,9845,-9999,256,Flower buds (1 location),2010,5,12,132,2455329,10,2010,5,23,143,2455340,21,2,12,0,0,-9999
'49970',McDowell Sonoran Conservancy Phenology Trails,24705,"Lost Dog, Kovach Nature Trail",33.600445,-111.811867,533,AZ,210,Carnegiea,gigantea,saguaro,Plantae,117062,-9999,202,Ripe fruits (1 location),2010,1,16,16,2455213,-9999,2010,1,16,16,2455213,-9999,1,1,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4865,-9999,390,Ripe fruits,2011,7,8,189,2455751,33,2011,7,16,197,2455759,21,2,9,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4865,-9999,500,Flowers or flower buds,2011,5,30,150,2455712,8,2011,6,5,156,2455718,33,2,7,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4865,-9999,516,Fruits,2011,7,8,189,2455751,33,2011,7,16,197,2455759,21,2,9,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4866,-9999,500,Flowers or flower buds,2011,5,30,150,2455712,8,2011,7,8,189,2455751,8,3,40,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,390,Ripe fruits,2011,6,5,156,2455718,6,2011,7,8,189,2455751,8,2,34,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,500,Flowers or flower buds,2011,3,27,86,2455648,-9999,2011,6,5,156,2455718,33,9,71,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,501,Open flowers,2011,4,24,114,2455676,8,2011,4,24,114,2455676,14,1,1,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,516,Fruits,2011,5,8,128,2455690,14,2011,6,5,156,2455718,33,5,29,0,0,-9999
'3482',-9999,5612,Home,32.31229,-110.846191,854,AZ,210,Carnegiea,gigantea,saguaro,Plantae,12511,-9999,500,Flowers or flower buds,2011,5,6,126,2455688,-9999,2011,5,16,136,2455698,-9999,11,11,0,0,-9999
'3482',-9999,5612,Home,32.31229,-110.846191,854,AZ,210,Carnegiea,gigantea,saguaro,Plantae,12511,-9999,501,Open flowers,2011,5,9,129,2455691,1,2011,5,11,131,2455693,1,3,3,0,0,-9999
'5',U of A Campus Arboretum,6102,Joseph Wood Krutch Garden U Arizona mall,32.23188,-110.951012,743,AZ,210,Carnegiea,gigantea,saguaro,Plantae,16042,1,500,Flowers or flower buds,2011,9,20,263,2455825,7,2011,9,20,263,2455825,9,1,1,0,0,-9999
'5',U of A Campus Arboretum,6102,Joseph Wood Krutch Garden U Arizona mall,32.23188,-110.951012,743,AZ,210,Carnegiea,gigantea,saguaro,Plantae,16121,-9999,500,Flowers or flower buds,2011,9,20,263,2455825,7,2011,10,13,286,2455848,12,4,24,0,0,-9999
'5',U of A Campus Arboretum,6102,Joseph Wood Krutch Garden U Arizona mall,32.23188,-110.951012,743,AZ,210,Carnegiea,gigantea,saguaro,Plantae,16121,-9999,501,Open flowers,2011,9,29,272,2455834,9,2011,9,29,272,2455834,8,1,1,0,1,-9999
'5',U of A Campus Arboretum,6102,Joseph Wood Krutch Garden U Arizona mall,32.23188,-110.951012,743,AZ,210,Carnegiea,gigantea,saguaro,Plantae,16121,-9999,501,Open flowers,2011,10,13,286,2455848,6,2011,10,13,286,2455848,12,1,1,0,1,-9999
'5',U of A Campus Arboretum,6102,Joseph Wood Krutch Garden U Arizona mall,32.23188,-110.951012,743,AZ,210,Carnegiea,gigantea,saguaro,Plantae,16121,-9999,504,Recent fruit or seed drop,2011,10,7,280,2455842,8,2011,10,7,280,2455842,6,1,1,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4865,-9999,390,Ripe fruits,2012,6,24,176,2456103,15,2012,7,1,183,2456110,7,2,8,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4865,-9999,500,Flowers or flower buds,2012,4,29,120,2456047,8,2012,6,9,161,2456088,15,7,42,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4865,-9999,501,Open flowers,2012,5,13,134,2456061,7,2012,6,3,155,2456082,6,4,22,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4865,-9999,504,Recent fruit or seed drop,2012,6,24,176,2456103,15,2012,7,1,183,2456110,7,2,8,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4865,-9999,516,Fruits,2012,5,13,134,2456061,7,2012,6,24,176,2456103,7,6,43,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4866,-9999,390,Ripe fruits,2012,6,9,161,2456088,6,2012,6,9,161,2456088,15,1,1,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4866,-9999,500,Flowers or flower buds,2012,4,8,99,2456026,7,2012,5,20,141,2456068,7,7,43,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4866,-9999,501,Open flowers,2012,4,29,120,2456047,8,2012,5,20,141,2456068,7,4,22,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4866,-9999,516,Fruits,2012,4,29,120,2456047,8,2012,6,24,176,2456103,7,8,57,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,390,Ripe fruits,2012,5,20,141,2456068,7,2012,5,20,141,2456068,7,1,1,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,390,Ripe fruits,2012,6,3,155,2456082,7,2012,6,9,161,2456088,15,2,7,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,500,Flowers or flower buds,2012,3,25,85,2456012,7,2012,5,6,127,2456054,7,7,43,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,500,Flowers or flower buds,2012,5,20,141,2456068,7,2012,7,15,197,2456124,7,8,57,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,500,Flowers or flower buds,2012,9,30,274,2456201,14,2012,10,28,302,2456229,13,4,29,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,501,Open flowers,2012,4,15,106,2456033,7,2012,5,6,127,2456054,7,4,22,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,501,Open flowers,2012,5,27,148,2456075,7,2012,5,27,148,2456075,7,1,1,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,504,Recent fruit or seed drop,2012,5,20,141,2456068,7,2012,6,24,176,2456103,7,5,36,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,516,Fruits,2012,4,29,120,2456047,8,2012,6,24,176,2456103,7,8,57,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,516,Fruits,2012,11,10,315,2456242,13,2012,12,18,353,2456280,-9999,4,39,0,1,-9999
'3115',-9999,5211,BWRNWR Honeycomb Site,34.278591,-114.067146,146,AZ,210,Carnegiea,gigantea,saguaro,Plantae,10232,-9999,500,Flowers or flower buds,2012,4,10,101,2456028,18,2012,4,24,115,2456042,-9999,2,15,0,0,-9999
'3115',-9999,5211,BWRNWR Honeycomb Site,34.278591,-114.067146,146,AZ,210,Carnegiea,gigantea,saguaro,Plantae,10232,-9999,501,Open flowers,2012,4,10,101,2456028,18,2012,4,24,115,2456042,-9999,2,15,0,0,-9999
'3598',U of A Campus Arboretum,6102,Joseph Wood Krutch Garden U Arizona mall,32.23188,-110.951012,743,AZ,210,Carnegiea,gigantea,saguaro,Plantae,16042,1,500,Flowers or flower buds,2012,4,26,117,2456044,34,2012,4,26,117,2456044,166,1,1,0,0,-9999
'3598',U of A Campus Arboretum,6102,Joseph Wood Krutch Garden U Arizona mall,32.23188,-110.951012,743,AZ,210,Carnegiea,gigantea,saguaro,Plantae,16042,1,501,Open flowers,2012,4,26,117,2456044,34,2012,4,26,117,2456044,166,1,1,0,0,-9999
'3919',U of A Campus Arboretum,6102,Joseph Wood Krutch Garden U Arizona mall,32.23188,-110.951012,743,AZ,210,Carnegiea,gigantea,saguaro,Plantae,16119,-9999,500,Flowers or flower buds,2012,5,3,124,2456051,41,2012,5,3,124,2456051,166,1,1,0,0,-9999
'3598',U of A Campus Arboretum,6102,Joseph Wood Krutch Garden U Arizona mall,32.23188,-110.951012,743,AZ,210,Carnegiea,gigantea,saguaro,Plantae,16119,-9999,501,Open flowers,2012,4,26,117,2456044,34,2012,4,26,117,2456044,7,1,1,0,0,-9999
'3598',U of A Campus Arboretum,6102,Joseph Wood Krutch Garden U Arizona mall,32.23188,-110.951012,743,AZ,210,Carnegiea,gigantea,saguaro,Plantae,16120,-9999,500,Flowers or flower buds,2012,4,26,117,2456044,34,2012,4,26,117,2456044,173,1,1,0,0,-9999
'5',U of A Campus Arboretum,6102,Joseph Wood Krutch Garden U Arizona mall,32.23188,-110.951012,743,AZ,210,Carnegiea,gigantea,saguaro,Plantae,16121,-9999,500,Flowers or flower buds,2012,3,23,83,2456010,28,2012,3,23,83,2456010,-9999,1,1,0,0,-9999
'4400',Pima County Extension,6165,Pima Extension Office,32.282314,-110.942627,712,AZ,210,Carnegiea,gigantea,saguaro,Plantae,16488,-9999,500,Flowers or flower buds,2012,3,22,82,2456009,3,2012,3,22,82,2456009,3,1,1,0,1,-9999
"'4485,4398,4400'",Pima County Extension,6165,Pima Extension Office,32.282314,-110.942627,712,AZ,210,Carnegiea,gigantea,saguaro,Plantae,16488,-9999,500,Flowers or flower buds,2012,3,29,89,2456016,4,2012,5,1,122,2456049,71,7,34,1,1,-9999
"'4400,4398'",Pima County Extension,6165,Pima Extension Office,32.282314,-110.942627,712,AZ,210,Carnegiea,gigantea,saguaro,Plantae,16488,-9999,501,Open flowers,2012,4,24,115,2456042,7,2012,5,1,122,2456049,71,2,8,1,0,MultiObserver-StatusConflict
'4400',Pima County Extension,6165,Pima Extension Office,32.282314,-110.942627,712,AZ,210,Carnegiea,gigantea,saguaro,Plantae,16488,-9999,516,Fruits,2012,4,24,115,2456042,7,2012,4,24,115,2456042,7,1,1,0,0,MultiObserver-StatusConflict
'5194',U of A Campus Arboretum,6381,UA Old Main Loop,32.23188,-110.953888,741,AZ,210,Carnegiea,gigantea,saguaro,Plantae,18087,-9999,390,Ripe fruits,2012,6,29,181,2456108,57,2012,6,29,181,2456108,-9999,1,1,0,0,-9999
'3919',U of A Campus Arboretum,6381,UA Old Main Loop,32.23188,-110.953888,741,AZ,210,Carnegiea,gigantea,saguaro,Plantae,18087,-9999,500,Flowers or flower buds,2012,5,3,124,2456051,-9999,2012,5,3,124,2456051,57,1,1,0,0,-9999
'5194',U of A Campus Arboretum,6381,UA Old Main Loop,32.23188,-110.953888,741,AZ,210,Carnegiea,gigantea,saguaro,Plantae,18087,-9999,504,Recent fruit or seed drop,2012,6,29,181,2456108,57,2012,6,29,181,2456108,-9999,1,1,0,0,-9999
'5194',U of A Campus Arboretum,6381,UA Old Main Loop,32.23188,-110.953888,741,AZ,210,Carnegiea,gigantea,saguaro,Plantae,18087,-9999,516,Fruits,2012,6,29,181,2456108,57,2012,6,29,181,2456108,-9999,1,1,0,0,-9999
'4395',-9999,6593,Pima Extension Site,32.282158,-110.942886,713,AZ,210,Carnegiea,gigantea,saguaro,Plantae,20277,-9999,500,Flowers or flower buds,2012,3,27,87,2456014,7,2012,4,24,115,2456042,-9999,5,29,0,0,-9999
'4427',-9999,6620,University of Arizona Pima County Cooperative Extension,32.281326,-110.942657,713,AZ,210,Carnegiea,gigantea,saguaro,Plantae,20599,-9999,500,Flowers or flower buds,2012,3,27,87,2456014,7,2012,4,24,115,2456042,-9999,5,29,0,0,-9999
'4419',-9999,8151,Pima Extension Office,32.28241,-110.942558,713,AZ,210,Carnegiea,gigantea,saguaro,Plantae,22709,-9999,500,Flowers or flower buds,2012,3,27,87,2456014,7,2012,4,24,115,2456042,-9999,5,29,0,0,-9999
'2927',-9999,8171,Silver Street,32.252918,-110.954643,731,AZ,210,Carnegiea,gigantea,saguaro,Plantae,22984,-9999,500,Flowers or flower buds,2012,4,13,104,2456031,-9999,2012,5,4,125,2456052,-9999,4,22,0,0,-9999
'2927',-9999,8171,Silver Street,32.252918,-110.954643,731,AZ,210,Carnegiea,gigantea,saguaro,Plantae,22984,-9999,501,Open flowers,2012,4,27,118,2456045,7,2012,5,4,125,2456052,-9999,2,8,0,0,-9999
'5192',-9999,8682,Univeristy of Arizona - Old Main2,32.233284,-110.948799,744,AZ,210,Carnegiea,gigantea,saguaro,Plantae,27760,1,390,Ripe fruits,2012,5,30,151,2456078,13,2012,6,12,164,2456091,29,3,14,0,0,-9999
'5192',-9999,8682,Univeristy of Arizona - Old Main2,32.233284,-110.948799,744,AZ,210,Carnegiea,gigantea,saguaro,Plantae,27760,1,500,Flowers or flower buds,2012,5,11,132,2456059,-9999,2012,5,17,138,2456065,13,2,7,0,0,-9999
'5192',-9999,8682,Univeristy of Arizona - Old Main2,32.233284,-110.948799,744,AZ,210,Carnegiea,gigantea,saguaro,Plantae,27760,1,501,Open flowers,2012,5,11,132,2456059,-9999,2012,5,17,138,2456065,13,2,7,0,0,-9999
'5192',-9999,8682,Univeristy of Arizona - Old Main2,32.233284,-110.948799,744,AZ,210,Carnegiea,gigantea,saguaro,Plantae,27760,1,504,Recent fruit or seed drop,2012,5,30,151,2456078,13,2012,6,6,158,2456085,6,2,8,0,0,-9999
'5192',-9999,8682,Univeristy of Arizona - Old Main2,32.233284,-110.948799,744,AZ,210,Carnegiea,gigantea,saguaro,Plantae,27760,1,516,Fruits,2012,5,30,151,2456078,13,2012,6,12,164,2456091,29,3,14,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4865,-9999,500,Flowers or flower buds,2013,5,5,125,2456418,14,2013,5,26,146,2456439,21,4,22,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4865,-9999,516,Fruits,2013,5,26,146,2456439,7,2013,6,16,167,2456460,35,2,22,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4866,-9999,500,Flowers or flower buds,2013,4,14,104,2456397,7,2013,5,26,146,2456439,21,6,43,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4866,-9999,501,Open flowers,2013,5,11,131,2456424,6,2013,5,19,139,2456432,7,2,9,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4866,-9999,516,Fruits,2013,5,19,139,2456432,8,2013,5,26,146,2456439,21,2,8,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,390,Ripe fruits,2013,1,27,27,2456320,14,2013,2,24,55,2456348,7,5,29,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,500,Flowers or flower buds,2013,3,24,83,2456376,7,2013,4,21,111,2456404,14,4,29,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,500,Flowers or flower buds,2013,5,11,131,2456424,6,2013,5,26,146,2456439,21,3,16,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,500,Flowers or flower buds,2013,7,21,202,2456495,35,2013,7,28,209,2456502,7,2,8,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,500,Flowers or flower buds,2013,9,1,244,2456537,7,2013,9,22,265,2456558,17,4,22,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,501,Open flowers,2013,5,26,146,2456439,7,2013,5,26,146,2456439,21,1,1,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,501,Open flowers,2013,7,28,209,2456502,7,2013,7,28,209,2456502,7,1,1,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,504,Recent fruit or seed drop,2013,3,3,62,2456355,7,2013,3,3,62,2456355,7,1,1,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,516,Fruits,2013,1,5,5,2456298,-9999,2013,2,24,55,2456348,7,7,51,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,516,Fruits,2013,7,28,209,2456502,7,2013,7,28,209,2456502,7,1,1,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,516,Fruits,2013,9,15,258,2456551,8,2013,11,3,307,2456600,8,6,50,0,1,-9999
